id,name,plnt_typ,gro_trig,nfix_co,days_mat,bm_e,harv_idx,lai_pot,frac_hu1,lai_max1,frac_hu2,lai_max2,hu_lai_decl,dlai_rate,can_ht_max,rt_dp_max,tmp_opt,tmp_base,frac_n_yld,frac_p_yld,frac_n_em,frac_n_50,frac_n_mat,frac_p_em,frac_p_50,frac_p_mat,harv_idx_ws,usle_c_min,stcon_max,vpd,frac_stcon,ru_vpd,co2_hi,bm_e_hi,plnt_decomp,lai_min,bm_tree_acc,yrs_mat,bm_tree_max,ext_co,leaf_tov_mn,leaf_tov_mx,bm_dieoff,rt_st_beg,rt_st_end,plnt_pop1,frac_lai1,plnt_pop2,frac_lai2,frac_sw_gro,aeration,wnd_dead,wnd_flat,description
32,clvr,cold_annual,temp_gro,0.5,110,25,0.9,4,0.15,0.01,0.5,0.95,0.75,10,0.75,1.5,15,1,0.065,0.004,0.065,0.028,0.0243,0.006,0.0024,0.0024,0.9,0.003,0.006,4,0.75,10,660,30,0.05,0,0,0,0,0.55,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,red_clover
33,clvs,perennial,temp_gro,0.5,0,25,0.9,4,0.15,0.01,0.5,0.95,0.75,1,1.5,2.4,15,1,0.065,0.004,0.065,0.028,0.0243,0.006,0.0024,0.0024,0.9,0.003,0.005,4,0.75,10,660,30,0.05,2,0.3,2,30,0.55,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,sweetclover
34,cngr,perennial,temp_gro,0,0,35,0.1,5,5,0.05,50,0.99,0.54,1,0.7,1.3,25,6,0.065,0.0091,0.0524,0.0265,0.0258,0.0074,0.0037,0.0035,0.01,0.001,0.007,-6.5,1,8,660,43,0.05,0.01,0.3,10,50,0.7,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,canada_grass
35,cocb,warm_annual,temp_gro,0,100,33,0.4,5.8,0.15,0.5,0.5,0.95,0.6,1,1,2,25,10,0.65,0.0091,0.03,0.0265,0.0258,0.0074,0.0037,0.0035,0.2,0.001,0.007,4,0.75,8,660,45,0.05,0.01,1,10,50,0.6,12,3,0.99,0,0,0,0,0,0,0.5,0,0,0,cockle_burr
36,coco,perennial,temp_gro,0,0,24,0.56,5,0.15,0.7,0.25,0.99,0.99,1,10,3.5,30,0,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.0019,4,0.75,8,660,16,0.05,0.75,0.3,30,100,0.65,12,3,0,0,0,0,0,0,0,0.5,0,0,0,coconut_tree
37,coct,perennial,temp_gro,0,0,15,0.56,3.5,0.15,0.05,0.5,0.99,0.9,1,10,3.5,30,10,0.0015,0.003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.001,0.007,4.75,0.5,8,660,45,0.05,0.75,0.3,10,200,0.45,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,cocoa_tree
38,coff,perennial,temp_gro,0,0,10,0.15,1.35,0.05,0.05,0.4,0.95,0.99,1,2,2,30,10,0.0015,0.0003,0.02,0.01,0.008,0.0007,0.0004,0.0003,0.01,0.001,0.0036,4,0.75,8,660,18,0.05,0.75,0.3,10,50,0.61,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,coffee
39,cont,warm_annual,temp_gro,0,100,39,0.5,6,0.15,0.05,0.5,0.95,0.7,1,2.5,2,25,8,0.014,0.0016,0.047,0.0177,0.0138,0.0048,0.0018,0.0014,0.3,0.07,0.007,4,0.75,7.2,660,45,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,unknown
40,corn,warm_annual,temp_gro,0,120,40,0.55,6,0.15,0.15,0.5,0.95,0.8,0.1,2.5,2,25,8,0.0175,0.0025,0.044,0.0164,0.0128,0.0062,0.0023,0.0018,0.3,0.14,0.007,4,0.75,7.2,660,45,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,corn
41,corn100,warm_annual,temp_gro,0,100,40,0.55,6,0.15,0.15,0.5,0.95,0.8,0.1,2.5,2,25,8,0.0175,0.0025,0.044,0.0164,0.0128,0.0062,0.0023,0.0018,0.3,0.14,0.007,4,0.75,7.2,660,45,0.05,0,0,0,0,0.65,12,3,0.1,0,0,0,0,0,0,0.5,0,0,0,corn
